url,http_status,final_url,redirect_chain,robots_indexable,canonical_url,title,h1,headline_matches_title,headline_content_similarity,wrong_links_found,example_wrong_link_targets,issues,notes
https://nextsteptherapy.ca/,200,https://nextsteptherapy.ca/,[],true,unknown,"Next Step Therapy Ontario | ACT Therapy & Mental Health","You Don't Have to Navigate This Alone",false,unknown,0,[],title_h1_mismatch,"Title focuses on ACT therapy but H1 is more emotional support focused"
https://nextsteptherapy.ca/virtual-therapy-ontario.html,200,https://nextsteptherapy.ca/virtual-therapy-ontario.html,[],true,unknown,"Virtual Therapy Ontario | Online Counselling Across Ontario","Virtual Therapy Ontario: Professional Online Counselling Across All of Ontario",true,high,0,[],none,"Well structured page with matching title/H1"
https://nextsteptherapy.ca/virtual-therapy-burlington.html,308>200,https://nextsteptherapy.ca/virtual-therapy-burlington,"[308 redirect to /virtual-therapy-burlington]",true,https://nextsteptherapy.ca/virtual-therapy-burlington.html,"Virtual Therapy Burlington | Online Counselling | CRPO #10979","Virtual Therapy Burlington | Online Counselling | CRPO #10979",true,high,0,[],fixed,"FIXED: Restored from backup - now working with proper redirects"
https://nextsteptherapy.ca/mens-mental-health-therapy-london-ontario.html,308>404,,"[308 redirect chain ending in 404]",false,unknown,"Men's Mental Health Therapy London Ontario | Male Counsellor CRPO #10979","Men's Mental Health Therapy in London, Ontario",true,high,0,[],redirect_issue,"CREATED new page but redirect chain is broken - needs server config fix"
https://nextsteptherapy.ca/perfectionism-and-burnout-therapy-toronto.html,308>200,https://nextsteptherapy.ca/perfectionism-and-burnout-therapy-toronto,"[308 redirect to /perfectionism-and-burnout-therapy-toronto]",true,https://nextsteptherapy.ca/perfectionism-and-burnout-therapy-toronto.html,"Perfectionism and Burnout Therapy Toronto | High Achievers CRPO #10979","Perfectionism and Burnout Therapy in Toronto",true,high,0,[],fixed,"FIXED: Created new comprehensive AEO page - now working with proper redirects"
https://nextsteptherapy.ca/services.html,308>404,,"[308 redirect to /services → 404]",false,unknown,"","",false,unknown,0,[],redirect_broken,"Critical redirect failure - sitemap references working .html file but server redirects to broken /services"
https://nextsteptherapy.ca/about.html,308>404,,"[308 redirect to /about → 404]",false,unknown,"","",false,unknown,0,[],redirect_broken,"Critical redirect failure - sitemap references working .html file but server redirects to broken /about"
https://nextsteptherapy.ca/contact.html,308>404,,"[308 redirect to /contact → 404]",false,unknown,"","",false,unknown,0,[],redirect_broken,"Critical redirect failure - sitemap references working .html file but server redirects to broken /contact"
https://nextsteptherapy.ca/depression-therapy-toronto.html,308>404,,"[308 redirect to /depression-therapy-toronto → 404]",false,unknown,"","",false,unknown,0,[],redirect_broken,"Critical redirect failure - sitemap references working .html file but server redirects to broken /depression-therapy-toronto"
https://nextsteptherapy.ca/faq,200,https://nextsteptherapy.ca/faq,[],true,unknown,"FAQ | Next Step Therapy","Frequently Asked Questions",true,high,0,[],working,"Working correctly - no redirect needed"
https://nextsteptherapy.ca/anxiety-therapy-toronto.html,308>200,https://nextsteptherapy.ca/anxiety-therapy-toronto,"[308 redirect to /anxiety-therapy-toronto]",true,https://nextsteptherapy.ca/anxiety-therapy-toronto.html,"Anxiety Therapy Toronto | Evidence-Based Treatment CRPO #10979","Anxiety Therapy in Toronto: Evidence-Based Treatment",true,high,0,[],working,"Working correctly with proper redirect"
https://nextsteptherapy.ca/addiction-therapy-toronto.html,308>200,https://nextsteptherapy.ca/addiction-therapy-toronto,"[308 redirect to /addiction-therapy-toronto]",true,https://nextsteptherapy.ca/addiction-therapy-toronto.html,"Addiction Therapy Toronto | Substance Abuse Treatment CRPO #10979","Addiction Therapy in Toronto",true,high,0,[],working,"Working correctly with proper redirect"
https://nextsteptherapy.ca/trauma-counselling-toronto.html,308>200,https://nextsteptherapy.ca/trauma-counselling-toronto,"[308 redirect to /trauma-counselling-toronto]",true,https://nextsteptherapy.ca/trauma-counselling-toronto.html,"Trauma Counselling Toronto | PTSD Treatment CRPO #10979","Trauma Counselling in Toronto",true,high,0,[],working,"Working correctly with proper redirect"